categories,description,price
"Desserts","PnP Lemon Cheesecake Small 90g","R
                23
                
                    00"
"Jelly Pudding & Custard","PnP Jelly Blackcurrent 80g","R
                4
                
                    99"
"Prepacked Meats","Enterprise Chopped Ham Roll 1kg","R
                59
                
                    99"
"Cooking Oil","No Name Cooking Oil 750 ML","R
                17
                
                    95"
"Salads","Kosher Deli Pnp Chopped Herring","R
                129
                
                    00
                     (per kg)"
"Concentrated Fruit Juice","PnP Mango & Orange Fruit Nectar 1 Li...","R
                28
                
                    49"
"Sauces & Condiments","PnP Barbeque Meat Marinade 500ml","R
                25
                
                    99"
"Sweets","PnP Fruit Pastilles 125gr","R
                11
                
                    99"
"Desserts","Pnp Caramel Mint Dessert Small 90g","R
                23
                
                    00"
"Long Life UHT Milk","Alpro Soy Drink Light 1 Litre","R
                42
                
                    99"
"Frozen Fish","Arctic Frost Hake Prime Cuts 500g","R
                59
                
                    99"
"Canned Meat","Bull Brand Corned Beef And Cereal 300g","R
                35
                
                    99"
"Fresh Desserts","Fair Cape Choc Dessert 125ml","R
                5
                
                    49"
"Baking Aids","PnP Castor Sugar 1kg x25","R
                775
                
                    99"
"Sugar & Sweeteners","PnP Castor Sugar 500g","R
                18
                
                    49"
"Bread","Albany Superior Low Gi Sliced Brown Seed...","R
                14
                
                    99"
"Deli Meats","Hartlief Windhoek Salami 100GR","R
                46
                
                    99"
"Cooking Oil","PnP Canola Oil 2 Litre","R
                53
                
                    99"
"Dried Vegetables","PnP Croutons Cheese 55g","R
                11
                
                    99"
"Frozen Fish","Arctic Frost Braai Snoek Fillet 1kg","R
                85
                
                    99"
"Canned Meat","No Name Corned Meat 300g x6","R
                87
                
                    00"
"Jams & Sandwich Spreads","PnP Crunch Peanut Butter 800g","R
                45
                
                    99"
"Frozen Vegetables","Pnp Thin Cut Fry Chips 1kg","R
                23
                
                    99"
"Spices & Seasoning","Knorrox Chicken Stock Cubes12","R
                12
                
                    99"
"Dried Vegetables","PnP Croutons Chilli And CaramalizedOnion...","R
                11
                
                    99"
"Pizza","Pnp Margherita Pizza 351g","R
                40
                
                    00"
"Vinegar","PnP Red Wine Vinegar 750ml","R
                21
                
                    99"
"Canned Meat","Bull Brand Corned Meat 300g x6","R
                116
                
                    49"
"Fresh Fruit Juice","PnP 100% Apple Juice 1.5 Litre","R
                21
                
                    00"
"Fresh Desserts","Clover Italian Lemon Desert 140g","R
                32
                
                    99"
"Sauces & Condiments","Wellington's Squeeze Chilli Sauce 50...","R
                25
                
                    49"
"Confectionery","PnP Rosette Meringue","R
                24
                
                    99"
"Salads","PnP Carrot and Pineapple Salad 500g","R
                34
                
                    00"
"Lamb and Mutton","PnP Butchery Kosher Lamb Cutlet","R
                184
                
                    99
                     (per kg)"
"Sweets","PnP Mini Fruit Jubes 125gr","R
                11
                
                    99"
"Frozen Poultry","PnP Frozen Chicken Burgers 400g","R
                35
                
                    99"
"Dried Fruit & Nuts","PnP Cashews Peri-peri 400g","R
                139
                
                    00"
"Pickles And Salads","PnP Cocktail Onions Green 130g","R
                19
                
                    99"
"Chilled Fish","Arctic Frost Prawn Meat 60/80 400g","R
                89
                
                    99"
"Sauces & Condiments","Old El Paso Taco Shells 156g","R
                59
                
                    99"
"Dried Fruit & Nuts","PnP Dried Pitted Prunes 250g","R
                53
                
                    99"
"Dairy By Products","Pnp Fresh Cream 250ml x12","R
                180
                
                    49"
"Beef","PnP Butchery Beef Texan Steak","R
                79
                
                    99
                     (per kg)"
"Jelly Pudding & Custard","PnP Peach Jelly 80g","R
                4
                
                    99"
"Sugar & Sweeteners","PnP Castor Sugar 1kg","R
                31
                
                    99"
"Sweets","PnP Fruit Pastilles Tub 500gr","R
                59
                
                    99"
"Carbonated Soft Drinks","PnP Ginger Beer Can 330ml","R
                6
                
                    99"
"Iced Tea and Coffee","Rose's Rtd Ice Tea Lemon 275ml x6","R
                59
                
                    99"
"Confectionery","Country Pies Cocktail Sausage Roll12ea","R
                28
                
                    99"
"Salads","Deli PnP Creamed Spinach","R
                79
                
                    99
                     (per kg)"
"Vegetables","PnP Cheese Mate Salad 300g","R
                33
                
                    99"
"Yogurt","Parmalat Low Fat Yoghurt Smooth Caramel1...","R
                6
                
                    99"
"Canned Fruit","PnP Fruit Salad 410g","R
                18
                
                    99"
"Long Life UHT Milk","PnP UHT Low Fat Milk 1 Litre x6","R
                66
                
                    90"
"Long Life Fruit Juice","PnP Apricot Juice 1 Litre","R
                17
                
                    59"
"Sports And Energy Drinks","PnP Orange Flavoured Drink 300ml","R
                7
                
                    29"
"Vegetables","PnP Family Stir Fry 600g","R
                36
                
                    99"
"Bread Rolls","Bakery Pnp Hot Dog Roll Each","R
                1
                
                    69"
"Sauces & Condiments","No Name Chutney Mild 1 KG","R
                33
                
                    99"
"Canned Fish","Lucky Star Minced Fish 410g","R
                14
                
                    99"
"Spices & Seasoning","Robertsons Spice For Rice Bottle 100ml","R
                26
                
                    99"
"Vinegar","Ab Black Gold Sauce 250ml","R
                49
                
                    99"
"Salad Dressing Mayonnaise","PnP Salad Dressing Greek Lite 340ml","R
                21
                
                    99"
"Chilled Fish","PnP Kippers Smoked Boneless","R
                21
                
                    42
                     (Average)"
"Frozen Fish","Fish Burgers","R
                115
                
                    99
                     (per kg)"
"Milk Flavourants","Cafe Enrista Hot Chocolate Sachet 30g","R
                6
                
                    49"
"Biscuits","Bakers Provita Multi Grain 250g","R
                21
                
                    49"
"Frozen Fish","Hake Fillets Frozen","R
                119
                
                    00
                     (per kg)"
"Ostrich","PnP Ostrich Goulash 500g","R
                49
                
                    99"
"Convenience Meals","PnP Chicken Mayo Sandwich","R
                26
                
                    00"
"Frozen Vegetables","PnP Frozen Potato Wedges 1kg","R
                29
                
                    99"
"Yogurt","PnP Lf Smth S/berry Ban&stewed Fruit...","R
                10
                
                    90"
"Jams & Sandwich Spreads","All Gold Super Fine Apricot Jam 450 GR x...","R
                209
                
                    49"
"Salad Dressing Mayonnaise","PnP French Fry Salad Dressing 500ml","R
                29
                
                    99"
"Long Life Fruit Juice","PnP Apple Juice 1 Litre","R
                17
                
                    59"
"Long Life Fruit Juice","PnP Apricot Juice 200ml","R
                6
                
                    99"
"Jams & Sandwich Spreads","Little Bee Honey In SqueezeBottle 375g x...","R
                1070
                
                    99"
"Concentrated Fruit Juice","PnP Concentrate Ice Tea PeachFlavour 1 L...","R
                28
                
                    49"
"Sugar & Sweeteners","Natreen Sweetener Push Dispenser 100ea","R
                21
                
                    49"
"Chocolates","Frey Chocolate Bar Dark Orange 100g","R
                39
                
                    99"
"Chocolates","Bahlsen Leibniz Dark Chocolate Biscuits ...","R
                24
                
                    99"
"Fresh Milk","Pnp Full Cream Milk 500ml","R
                7
                
                    49"
"Pasta","Fatti's&moni's Macaroni 500G...","R
                396
                
                    00"
"Carbonated Soft Drinks","PnP Ginger Beer Can 330ml x6","R
                40
                
                    99"
"Breakfast Cereals","Kellogg's Corn Flakes 500g x28","R
                814
                
                    99"
"Long Life UHT Milk","PnP UHT Fat Free Milk 1 Litre","R
                11
                
                    99"
"Convenience Meals","PnP Caprese Sandwich","R
                25
                
                    00"
"Fresh Fruit Juice","PnP Clear Apple Nectar 500ml","R
                10
                
                    99"
"Groceries","PnP Finest Greek Olive Tomato 290g","R
                69
                
                    99"
"Cooking Oil","PnP Canola Oil 750ml","R
                23
                
                    99"
"Long Life Fruit Juice","PnP 100% Apple & BlackcurrentJuice 2...","R
                32
                
                    99"
"Chicken","PnP Butchery Kosher ChickenDrumsticks","R
                84
                
                    99
                     (per kg)"
"Canned Meat","Gold Dish Mutton Breyani 380GR","R
                41
                
                    99"
"Milk Flavourants","Cafe Enrista White ChocolateSachet 30ea","R
                6
                
                    49"
"Pasta","No Name Spaghetti 500 GR x36","R
                345
                
                    99"
"Lamb and Mutton","PnP Butchery Lamb Neck","R
                97
                
                    99
                     (per kg)"
"Yogurt","Parmalat Low Fat Banana FruitSalad &...","R
                18
                
                    99"
